time fixation s m RnumSeed nSamplesGot qGlobal q0 q1 clineWidth FST
4200 0 2.000000E-02 5.000000E-02 737171431 42 6.311000E-01 6.037659E-01 6.572155E-01 1.870921E+01 3.066173E-03
4300 0 2.000000E-02 5.000000E-02 737171431 43 6.815000E-01 6.613355E-01 7.016807E-01 2.478609E+01 1.874772E-03
4400 0 2.000000E-02 5.000000E-02 737171431 44 6.739000E-01 6.531176E-01 6.952555E-01 2.373162E+01 2.019569E-03
4500 0 2.000000E-02 5.000000E-02 737171431 45 6.795000E-01 6.558337E-01 7.027348E-01 2.132143E+01 2.524952E-03
4600 0 2.000000E-02 5.000000E-02 737171431 46 6.940000E-01 6.982584E-01 6.898459E-01 1.188708E+02 8.329939E-05
4700 0 2.000000E-02 5.000000E-02 737171431 47 5.859000E-01 5.368025E-01 6.360696E-01 1.007384E+01 1.015244E-02
4800 0 2.000000E-02 5.000000E-02 737171431 48 4.945000E-01 4.932136E-01 4.957916E-01 3.878960E+02 6.646915E-06
4900 0 2.000000E-02 5.000000E-02 737171431 49 4.503000E-01 4.315748E-01 4.693425E-01 2.647765E+01 1.440532E-03
5000 0 2.000000E-02 5.000000E-02 737171431 50 4.427000E-01 4.110103E-01 4.752636E-01 1.556340E+01 4.182658E-03
5100 0 2.000000E-02 5.000000E-02 737171431 51 4.937000E-01 4.782520E-01 5.086614E-01 3.288459E+01 9.246407E-04
5200 0 2.000000E-02 5.000000E-02 737171431 52 5.340000E-01 5.164552E-01 5.518563E-01 2.824768E+01 1.258965E-03
5300 0 2.000000E-02 5.000000E-02 737171431 53 4.892000E-01 4.506619E-01 5.275229E-01 1.301049E+01 5.910337E-03
5400 0 2.000000E-02 5.000000E-02 737171431 54 5.094000E-01 4.755955E-01 5.448954E-01 1.443002E+01 4.801325E-03
5500 0 2.000000E-02 5.000000E-02 737171431 55 5.535000E-01 5.108225E-01 5.976007E-01 1.152364E+01 7.615611E-03
5600 0 2.000000E-02 5.000000E-02 737171431 56 5.405000E-01 5.123211E-01 5.690419E-01 1.763024E+01 3.238356E-03
5700 0 2.000000E-02 5.000000E-02 737171431 57 4.537000E-01 4.259855E-01 4.811058E-01 1.814214E+01 3.064428E-03
5800 0 2.000000E-02 5.000000E-02 737171431 58 4.669000E-01 4.226430E-01 5.105242E-01 1.137900E+01 7.756697E-03
5900 0 2.000000E-02 5.000000E-02 737171431 59 4.697000E-01 4.529880E-01 4.865462E-01 2.979903E+01 1.130281E-03
6000 0 2.000000E-02 5.000000E-02 737171431 60 4.514000E-01 4.357816E-01 4.676039E-01 3.142451E+01 1.021971E-03
6100 0 2.000000E-02 5.000000E-02 737171431 61 4.937000E-01 4.615846E-01 5.257897E-01 1.557510E+01 4.122942E-03
6200 0 2.000000E-02 5.000000E-02 737171431 62 5.138000E-01 4.961985E-01 5.313874E-01 2.841800E+01 1.239207E-03
6300 0 2.000000E-02 5.000000E-02 737171431 63 5.181000E-01 4.805246E-01 5.561594E-01 1.322143E+01 5.727891E-03
6400 0 2.000000E-02 5.000000E-02 737171431 64 5.491000E-01 5.341374E-01 5.634299E-01 3.413838E+01 8.660040E-04
6500 0 2.000000E-02 5.000000E-02 737171431 65 5.789000E-01 5.539019E-01 6.036197E-01 2.011349E+01 2.534911E-03
6600 0 2.000000E-02 5.000000E-02 737171431 66 5.563000E-01 5.229746E-01 5.891227E-01 1.511760E+01 4.431499E-03
6700 0 2.000000E-02 5.000000E-02 737171431 67 6.612000E-01 6.378960E-01 6.838061E-01 2.178169E+01 2.351692E-03
6800 0 2.000000E-02 5.000000E-02 737171431 68 6.808000E-01 6.552695E-01 7.060461E-01 1.969410E+01 2.966004E-03
6900 0 2.000000E-02 5.000000E-02 737171431 69 7.044000E-01 6.956172E-01 7.130919E-01 5.722555E+01 3.666271E-04
7000 0 2.000000E-02 5.000000E-02 737171431 70 7.489000E-01 7.209901E-01 7.773737E-01 1.773564E+01 4.226027E-03
7100 0 2.000000E-02 5.000000E-02 737171431 71 7.582000E-01 7.403537E-01 7.758758E-01 2.815149E+01 1.720629E-03
